Vibration_Level,Motor_Current,Power_Consumption,Load_Type
5950.15279849752,6.1664474137695295,8927.326914601043,Normal Load
8874.190266241176,8.274466710778235,13270.146934560931,Peak Load
5957.535317143349,5.503698712415204,8911.587871611395,Normal Load
5976.034427019491,5.150450825048259,8954.005142853968,Normal Load
6161.2583909762925,6.031244268969271,9280.583404440245,Normal Load
1842.3476938074339,1.4992880734029084,2721.195971635744,Light Load
5574.758670269679,5.885600695128268,8267.041143656466,Normal Load
5989.044444988367,6.1029851242101545,9004.17191664906,Normal Load
9156.408191709861,9.790896614664787,13600.128747330145,Peak Load
9166.959170871021,8.985082507703927,13441.150206029355,Peak Load
6225.589942657771,6.103689845493797,9459.303041534724,Normal Load
6170.691939590103,6.275639258082709,9340.156550166326,Normal Load
9245.441201802729,9.970196343297882,13913.564445633012,Peak Load
2126.117334881892,2.6236075427843533,3369.7482965236077,Light Load
6092.620150100548,6.396671137698863,9046.183915602463,Normal Load
6066.092419231934,5.930267399969422,9184.537428182453,Normal Load
9151.794205051234,9.2750651725882,13819.043035179822,Peak Load
2093.781325058441,1.6549352978932645,3204.4605654906927,Light Load
9126.217076550167,9.549839166056628,13720.52483836529,Peak Load
8982.576384778999,9.982454790499453,13342.890763822665,Peak Load
1955.0653424298011,2.316525922707146,2979.6797101530983,Light Load
6137.841412795617,5.894878868940626,9167.670441107846,Normal Load
2480.6128126122126,2.1311904473125924,3686.0750211840063,Light Load
5964.748930460901,6.079258706567639,9119.060575578742,Normal Load
6334.51140676606,6.100627191831296,9403.020869069032,Normal Load
6025.917022757985,6.00794848818466,9144.650833933947,Normal Load
5924.930208424606,5.6433226318567495,8845.491809811338,Normal Load
2175.129295747725,1.4725048690009346,3284.522725443973,Light Load
5896.688822155099,6.555623810726562,8817.747640130003,Normal Load
6017.2090461454545,5.2842846332181725,8830.516436153719,Normal Load
9007.973776849734,9.367898737224136,13540.560162284182,Peak Load
6206.917531140743,6.839343045829207,9114.32777283274,Normal Load
2043.4292576391395,2.355548774934208,3071.3341533642983,Light Load
2297.9298047598263,1.6702959960404309,3595.665026042225,Light Load
8919.509660505286,8.780953422303453,13507.842673572404,Peak Load
1853.2245219416168,1.571322412677616,2708.0117010931444,Light Load
2050.4559068235685,1.9884770327033807,3207.4831282188798,Light Load
6083.558569379275,7.060212721773764,8937.58914189066,Normal Load
6047.386221095222,6.2675757675372745,9186.853324498996,Normal Load
5358.995315269276,4.290361902907284,7890.235055827732,Normal Load
9171.075765603882,8.620296386006554,13830.111668097335,Peak Load
8826.453036045079,9.559382927479586,13233.371005065106,Peak Load
8896.952739568449,8.757552967402573,13295.02732618107,Peak Load
2079.3575290360664,2.0133701770160886,2934.55693012277,Light Load
8950.105434967849,9.128892615421071,13487.310565828004,Peak Load
1615.7028588607654,1.9058814850630803,2586.5990988244616,Light Load
5840.136252535159,6.584025205446574,8769.223796288226,Normal Load
6058.900940105093,6.15719458856754,9128.034400929962,Normal Load
5669.773731776036,5.935577117661432,8500.265397403873,Normal Load
9056.311060878652,9.563605418082435,13345.40995983576,Peak Load
8835.594265831616,9.132757277211503,13245.048970528656,Peak Load
6008.570177072455,6.518689108620416,9044.02292887886,Normal Load
2088.790788207002,1.7727553074784388,3278.7285156801127,Light Load
5952.826751913424,6.2842047527666915,8889.494251345308,Normal Load
2151.720176912999,2.2875519669717392,3116.4100833164175,Light Load
5995.682769634744,7.119595614555031,8934.852239581616,Normal Load
5989.690561089759,5.365574665915489,8856.470709838326,Normal Load
1900.2523128621601,3.0834990879593445,2864.8037671052175,Light Load
1749.2769865291139,1.5829601910291553,2669.3606049245655,Light Load
6160.646719106111,5.976072822728323,9251.76868219801,Normal Load
1782.6330819826699,1.969134939299746,2640.162746891758,Light Load
9128.044425608728,7.999502206583701,13642.935616797055,Peak Load
6019.118335650628,6.301936251288675,9047.106262300393,Normal Load
6070.948720715016,6.0729990259266255,9182.033974595739,Normal Load
8952.2391867176,9.105718617073874,13487.371148256761,Peak Load
8716.478088054317,8.235594442300938,13124.804238214638,Peak Load
2047.035994964357,2.3975974903528803,3097.8120138972445,Light Load
2171.693285996534,2.095352108069356,3241.634865456815,Light Load
8687.127157420915,9.305132826829961,12997.99990032988,Peak Load
2041.58904833816,1.7683747192173667,3070.2145980877735,Light Load
1845.038080891216,1.2258552222509733,2697.7000921534836,Light Load
8943.706436997027,8.630418239546518,13186.803973912509,Peak Load
1751.7164586124384,2.3631760676411417,2510.462789481576,Light Load
2239.485809047021,1.253371048663936,3332.243980803608,Light Load
8922.929400565556,9.477470752477787,13333.23960155236,Peak Load
1771.0953041122025,0.4595512217850799,2708.6473597083545,Light Load
2062.644998045761,2.263325390296003,2874.5368534444624,Light Load
8840.975094479223,9.030321712691297,13195.423845943262,Peak Load
2176.2651421128203,2.6161555264183614,3345.7254322925737,Light Load
5891.013721837318,5.392616827536673,8663.772034029556,Normal Load
1605.3730248724232,2.198332009163737,2444.979888342815,Light Load
2066.5816626749315,3.2409808539171783,3094.998463643475,Light Load
5591.953036555658,5.818837335273934,8272.886555780078,Normal Load
6028.531129019589,5.648021121178003,9059.0924424499,Normal Load
8853.426431144766,8.967834276190574,13098.84428613392,Peak Load
9127.180247947383,10.041796090514486,13690.873730958552,Peak Load
5863.801351881202,5.93402964066192,8793.08903278296,Normal Load
1556.7824765951232,1.6372112992489471,2263.7898078734497,Light Load
2125.017664574404,1.8747874490101237,3230.88141481502,Light Load
6097.6201139795885,5.868331520173143,9247.167119776834,Normal Load
6136.21588767544,6.416065393880293,9255.065703367389,Normal Load
6089.421988352605,6.1440941823575095,9225.602552893604,Normal Load
1959.6466738131396,1.0703212618499502,2969.4202138877577,Light Load
8897.638692084012,9.650759713145234,13505.14765163534,Peak Load
5505.233507458963,5.499096582308409,8306.001421106239,Normal Load
1776.1937709013635,2.4224505874442395,2692.505992161606,Light Load
8749.483218406194,8.349455913873784,13247.155302144969,Peak Load
6159.651015803773,6.4547107667544275,9301.5839486348,Normal Load
1930.066083084349,2.22076826595931,3039.588067447488,Light Load
5966.849492439042,6.079895841164403,9087.242405572031,Normal Load
9081.34063362571,8.660255136350553,13818.182325333466,Peak Load
8485.87187068513,8.69434824062972,12794.896268264582,Peak Load
6254.865056531814,6.342206478109203,9291.80068002315,Normal Load
5839.031862654549,5.390483135373822,8613.981621199648,Normal Load
8926.133867670213,10.431322482255316,13496.515824263137,Peak Load
5829.936664727379,6.5828113966967985,8730.23951392813,Normal Load
1787.6492814802903,1.8513671763229578,2781.7020919088695,Light Load
9123.932002762089,9.218567586382804,13454.806754648513,Peak Load
6133.505613338564,5.498143841810835,9098.558161718649,Normal Load
2047.7631177267576,3.0458128761268686,3049.3979528063383,Light Load
5812.810847658836,5.670557334057822,8780.97479062629,Normal Load
8896.482523483774,9.067970529419204,13341.776606470125,Peak Load
2079.129033225051,2.23290791726739,3090.048275930368,Light Load
8805.17517657948,9.044961570365713,13472.756315923876,Peak Load
8983.351809662618,9.959528769816004,13302.357800127727,Peak Load
9196.81204730274,8.994898378056892,13764.51829524509,Peak Load
5713.291038313214,5.835623316851774,8675.074926163797,Normal Load
9194.746596678566,8.903559632439084,13795.306552391368,Peak Load
2314.9784652773915,2.1494214113299903,3318.81367123032,Light Load
2327.823115257558,2.9192670906428484,3494.2028301513046,Light Load
8778.964809325307,8.866545905793107,13082.09048774149,Peak Load
8832.43646797401,9.099185990089579,13175.727287077378,Peak Load
8946.104248035788,8.271786943930634,13372.056504910346,Peak Load
5975.744795166941,5.793846407038154,9051.165727686619,Normal Load
8966.273399091124,8.623734154081298,13362.474950941338,Peak Load
8740.46791799867,7.691709187062251,13211.843224275042,Peak Load
2188.217685660778,2.435688216938775,3212.467303748761,Light Load
2139.4245473106657,2.747412355260002,3142.73698488711,Light Load
2076.63247348038,2.073010458580572,3019.9070532129326,Light Load
6042.695991911093,5.233651078326974,8947.999425705433,Normal Load
5788.78054809128,5.373672640452786,8903.663747405837,Normal Load
6375.079474109549,6.049073901287276,9506.193771777796,Normal Load
2076.886694824775,2.0770973919791165,3196.3804911662273,Light Load
5738.549497587526,5.085359586966139,8612.640959835719,Normal Load
5796.046476069568,5.674828740428219,8757.767010745787,Normal Load
2189.541457097234,2.199596019174929,3234.1245595379596,Light Load
